"logFC" "logCPM" "PValue" "FDR"
"AT5G65870" 2.01453701754237 3.02541316951663 0.00736028389929905 1
"AT2G38530" 1.81151833227338 7.2328143447131 0.00744134310962915 1
"AT3G21030" -3.17550219407353 -0.0481574017173623 0.00744742835955295 1
"AT4G19820" -3.17550219407353 -0.0481574017173623 0.00744742835955295 1
"AT5G67411" -3.17550219407353 -0.0481574017173623 0.00744742835955295 1
"AT5G59320" 1.93648568536488 3.54495766860372 0.00749753319377222 1
"AT1G53542" 1.94875639609797 3.38596995504326 0.00765724726198711 1
"AT1G70510" 2.41068662884029 1.54535910058978 0.00768072719380599 1
"AT4G27570" 2.38275587633608 1.52352179597359 0.00768072719380599 1
"AT3G19430" -2.0672040628499 2.17272226180979 0.00784081544817579 1
"AT3G27690" -1.79274853557381 6.70253672925775 0.00814812227793339 1
"AT2G43480" -2.46352268927508 0.760907867990215 0.00847458320738612 1
"AT2G24762" 1.79483519798019 5.39230975007985 0.00884327992576674 1
"ATCG00270" -1.924574150916 3.01747293746973 0.0088755785571993 1
"AT1G62540" 1.8337299393743 4.26641347837766 0.008942786853391 1
"AT4G21870" -1.84169054465085 3.87938101676594 0.00896341765950516 1
"AT4G00450" -1.79246078273961 4.89629702702527 0.00910612022668768 1
"AT1G76410" -2.80922498435511 0.503694168802877 0.00910828987970225 1
"AT1G71890" -6.40069866337672 -0.646794524171772 0.00922395944884699 1
"AT4G08093" -6.40069866337672 -0.646794524171772 0.00922395944884699 1
"AT3G26742" 6.30069804189143 -0.352981653681279 0.00922395944884699 1
"AT1G22570" -1.8459290430098 3.57474568963008 0.00937522576724562 1
"AT5G35190" -2.354513358197 1.21688239921035 0.00943598364885404 1
"AT5G50335" -2.3769774946646 0.897891276022492 0.00944813531940006 1
"AT2G43150" -1.76337491154187 5.66389066753214 0.00958376307441113 1
"AT2G41240" -1.97939268487052 2.40823090160294 0.00962350241703609 1
"AT3G27870" -2.0806375190605 1.88513427318255 0.00997462841452799 1
"AT5G58310" 1.83791972788016 3.8501622583292 0.010066759639974 1
"AT3G13965" -2.36441105784528 1.0658063139963 0.0102559336712297 1
"AT5G19580" -2.64928471515155 0.665392708837821 0.0103313122846097 1
"AT3G02480" 2.04825948681967 2.27768529189609 0.0103326524853868 1
"AT1G04800" -1.76364034070795 4.69401217246971 0.0104961988670382 1
"AT2G26440" -1.86030601116745 2.8590699494201 0.0107993777458466 1
"AT4G26180" -1.98642881480557 2.11069066391698 0.0109261348761467 1
"AT4G14380" 2.42895972304542 1.32730133563778 0.010933546540933 1
"AT1G66920" -2.3040569605501 1.17837752323816 0.010933546540933 1
"AT3G29590" 1.81599003142244 3.83330250089008 0.0109374449569924 1
"AT4G18600" -1.80399847704929 3.79379339706498 0.0109374449569924 1
"AT5G49660" -1.75591244846505 4.53936322041253 0.01099875434372 1
"AT5G15780" -1.7370552762538 5.09899703144634 0.0112875337246947 1
"AT5G06510" 2.05995284927434 2.17980612433937 0.0118882430305431 1
"AT4G38600" -1.69865677358749 6.29594857281132 0.0119587228128518 1
"AT3G57500" 2.16360678385557 1.55226719839436 0.0119999361528779 1
"AT1G65440" -1.71172928206113 5.59302212293916 0.012070872577594 1
"AT4G34220" -1.71835518125398 5.26140054674366 0.0121225696532633 1
"AT1G55350" -1.7025325843061 5.70720987755798 0.0121465552057093 1
"AT1G23230" -1.73221450650032 4.4168837100824 0.0122883916798057 1
"AT5G56890" -1.73169577180324 4.60769663952113 0.0124569331297154 1
"AT1G60740" 1.93678355335049 2.47105854886146 0.0129529432874984 1
"AT2G19800" -1.70787611220097 4.79539171649971 0.0130154239414999 1
"AT4G15233" -1.93687415803533 2.20169116324217 0.0133651711438794 1
"AT3G05140" -1.87587394573165 2.21593139370011 0.0133651711438794 1
"AT1G48090" -1.68279857961252 5.47853571657483 0.0134046821628794 1
"AT1G50030" -1.68554050029989 5.32666235037327 0.0136540075209327 1
"AT3G13290" -1.71079541484663 4.27505172294937 0.0136666476022784 1
"AT3G02260" -1.66817437648547 6.14512583024659 0.0138474628640899 1
"AT1G63750" -1.98414371796514 1.96788544205868 0.0138928523324071 1
"AT2G43620" -1.82273147479669 2.44465001218817 0.0140259242033198 1
"AT1G33590" -1.66434920642651 6.12455843348418 0.0140389223958224 1
"AT2G43000" 6.17682993085381 -0.442348957066172 0.0140786749482402 1
"AT3G04854" 6.17682993085381 -0.442348957066172 0.0140786749482402 1
"AT4G18650" 6.17682993085381 -0.442348957066172 0.0140786749482402 1
"AT5G37950" 6.17682993085381 -0.442348957066172 0.0140786749482402 1
"AT5G41280" 6.17682993085381 -0.442348957066172 0.0140786749482402 1
"AT5G44260" -3.95128078967658 -0.218143124555795 0.0141458840472237 1
"AT1G23110" -3.05100991306088 -0.136784968026142 0.0141458840472237 1
"AT3G49070" -2.24937522228587 0.979618280303337 0.014225314798564 1
"AT5G49080" -2.24937522228587 0.979618280303337 0.014225314798564 1
"AT2G33050" -2.64025458232673 0.377940708178835 0.0144137056017465 1
"AT4G11890" -2.64025458232673 0.377940708178835 0.0144137056017465 1
